title,authors,abstract,authors_trans,sbstract_stans
"Authors:Hao Zhang, Altaf Pasha, Isaac Metcalf, Jianlin Zhou, Mathias Staunstrup, Yunxuan Zhu, Shusen Liao, Ken Ssennyimba, Jia-Shiang Chen, Surya Prakash Reddy, Simon Thébaud, Jin Hou, Xinting Shuai, Faiz Mandani, Siraj Sidhik, Matthew R. Jones, Xuedan Ma, R Geetha Balakrishna, Sandhya Susarla, David S. Ginger, Claudine Katan, Mercouri G. Kanatzidis, Moungi G. Bawendi, Douglas Natelson, Philippe Tamarat, Brahim Lounis, Jacky Even, Aditya D. Mohite",Title:Overcoming the surface paradox: Buried perovskite quantum dots in wide-bandgap perovskite thin films,"Abstract:Colloidal perovskite quantum dots (PQDs) are an exciting platform for on-demand quantum, and classical optoelectronic and photonic devices. However, their potential success is limited by the extreme sensitivity and low stability arising from their weak intrinsic lattice bond energy and complex surface chemistry. Here we report a novel platform of buried perovskite quantum dots (b-PQDs) in a three-dimensional perovskite thin-film, fabricated using one-step, flash annealing, which overcomes surface related instabilities in colloidal perovskite dots. The b-PQDs demonstrate ultrabright and stable single-dot emission, with resolution-limited linewidths below 130 {\mu}eV, photon-antibunching (g^2(0)=0.1), no blinking, suppressed spectral diffusion, and high photon count rates of 10^4/s, consistent with unity quantum yield. The ultrasharp linewidth resolves exciton fine-structures (dark and triplet excitons) and their dynamics under a magnetic field. Additionally, b-PQDs can be electrically driven to emit single photons with 1 meV linewidth and photon-antibunching (g^2(0)=0.4). These results pave the way for on-chip, low-cost single-photon sources for next generation quantum optical communication and sensing.    ",タイトル：表面のパラドックスの克服：ワイドバンドガップペロブスカイト薄膜に埋もれたペロブスカイト量子ドット,要約：コロイドペロブスカイト量子ドット（PQDS）は、オンデマンド量子および古典的な光電子およびフォトニックデバイスのエキサイティングなプラットフォームです。しかし、彼らの潜在的な成功は、弱い内因性格子結合エネルギーと複雑な表面化学から生じる極端な感度と低安定性によって制限されます。ここでは、コロイドペロブスカイトドットの表面関連の不安定性を克服するワンステップのフラッシュアニーリングを使用して製造された3次元ペロブスカイト薄膜で埋められたペロブスカイト量子ドット（B-PQD）の新しいプラットフォームを報告します。B-PQDSは、分解能制限線幅を130 {\ mu} eV、光子吸引（g^2（0）= 0.1）未満で、超高地で安定した単一ドット放出を示します。10^4/sのカウント率、統一量子収量と一致しています。Ultrasharp LineWidthは、励起具の細かい構造（暗黒および三重項励起子）と磁場の下でのダイナミクスを解決します。さらに、B-PQDは電気的に駆動して、1 MEVのライン幅と光子吸引（G^2（0）= 0.4）で単一光子を放出できます。これらの結果は、次世代の量子光学通信とセンシングのためのオンチップ、低コストの単一光子ソースへの道を開きます。
"Authors:Xiang-Jian Hou, Lei Wang, Ying-Hai Wu",Title:Non-Abelian interlayer coherent fractional quantum Hall states,"Abstract:We study non-Abelian fractional quantum Hall state in double layer systems at total filling factor $1/2$. Recent progresses in two-dimensional van der Waals materials made it possible to explore the regime with very small interlayer distance. Numerical calculations suggests interlayer phase coherence can develop between the layers such that the electrons may redistribute between them without changing the Hall response. It corresponds to spontaneous breaking of the U(1) symmetry associated with the particle number difference in the layers. This state manifests itself as superfluid in counterflow measurement and has characteristic Hall response when current is passed through one layer and voltages in both layers are measured. As the interlayer distance increases, a phase transition into the Halperin 331 state occurs. We also discuss similar physics for bosonic systems with specially designed interactions.    ",タイトル：非アベル層間層のコヒーレント分数Quantum Hall州,要約：私たちは、総充填率$ 1/2 $で二重層システムで非アベルの分数量子ホール状態を研究します。2次元のファンデルワールス材料の最近の進歩により、非常に小さな層間距離でレジームを探索することが可能になりました。数値計算では、層間の位相コヒーレンスが層の間で発生し、ホールの応答を変更せずに電子がそれらの間で再分配できるようになることが示唆されています。これは、層の粒子数の違いに関連するU（1）対称性の自発的な破壊に対応します。この状態は、反流測定においてスーパーフルイドとして現れ、電流が1つの層に通過すると特徴的なホール応答があり、両方の層の電圧が測定されます。層間距離が増加すると、ハルペリン331状態への相転移が発生します。また、特別に設計された相互作用を備えたボソンシステムの同様の物理学についても説明します。
"Authors:G. Zhao, Y. Wang, X.-F. Qian",Title:Theory of Magnon Purcell Effect in Cavity Magnonic System,"Abstract:We conduct a systematic analysis of cavity effects on the decay dynamics of an open magnonic system. The Purcell effect on the magnon oscillator decay is thoroughly examined for both driven and non-driven scenarios. Analytical conditions are determined to distinguish between strong and weak coupling regimes, corresponding to oscillatory and pure decay behaviors respectively. Additionally, our theory also predicts the decay of the photon mode within the cavity-magnonic open system, demonstrating excellent agreement with existing experimental data. Our findings and methodologies can provide valuable insights for advancing research in cavity magnonic quantum control, quantum information processing, and the development of magnonic quantum devices.    ",タイトル：キャビティマグノニックシステムにおけるマグノンパーセル効果の理論,要約：オープンマグネックシステムの減衰ダイナミクスに対する空洞効果の体系的な分析を実施します。マグノン発振器減衰に対するパーセル効果は、駆動型シナリオと非駆動型シナリオの両方について徹底的に調べられます。分析条件は、それぞれ振動性と純粋な減衰挙動に対応する強力な結合体制を区別するために決定されます。さらに、我々の理論は、キャビティマグニックオープンシステム内の光子モードの減衰も予測し、既存の実験データとの優れた一致を示しています。私たちの調査結果と方法論は、キャビティマグネック量子制御、量子情報処理、およびマグネック量子デバイスの開発における研究を進めるための貴重な洞察を提供できます。
Authors:Manfred Requardt,Title:The Role of Type $II_{\infty}$ v.Neumann Algebras and their Tensor Structure in Quantum Gravity}},"Abstract:We will argue in this paper that the type classification of this http URL algebras play an important role in a theory of quantum gravity and quantum space-time physics. We provide arguments that type $II_{\infty}$ and its representation as a tensor product of an ordinary (exterior) Hilbert space algebra $\cB(\cH_I)$ and an (internal) type $II_1$ algebra, encoding, in our view, the hidden microscopic gravitational degrees of freedom, do represent the first step away from the semiclassical picture towards a full theory of quantum gravity.    ",タイトル：タイプ$ II _ {\ infty} $ v.neumann代数と量子重力におけるテンソル構造の役割}}},要約：この論文では、このHTTP URL代数のタイプ分類は、量子重力と量子時空物理学の理論において重要な役割を果たすと主張します。タイプ$ II _ {\ infty} $およびその表現は、通常（エクステリア）ヒルベルトスペース代数$ \ cb（\ ch_i）$のテンソル産物としての表現を提供します。私たちの見解、隠された顕微鏡的重力自由度は、半紀元前像から量子重力の完全な理論への最初のステップを表しています。
"Authors:Enrique G. Neyra, Marcelo F. Ciappina, Lorena Rebón",Title:Free temporal evolution of a superbandwidth wave packet: The quantum tale of the hare and the tortoise,"Abstract:Can the interplay between quantum mechanics and classical optics offer new perspectives on wavepacket dynamics? Building on this connection, we show that local momenta with both super-oscillatory and suboscillatory characteristics can arise during the free propagation of a quantum particle. This behavior is mathematically analogous to the propagation of a superbandwidth laser pulse in a dispersive medium, where the instantaneous frequencies of the electric field exhibit similar sub- and super-oscillatory features. This analogy is rooted in the equivalence between the wave description of light in classical optics and the formalism of quantum mechanics. In addition, we explore the phenomenon of wavepacket localization during free propagation within a bounded region. This localization is directly linked to the distribution of local momenta within the confined wavepacket region. To complement our quantum mechanical analysis, we also perform a classical analysis to provide further insights into this phenomenon. Our findings reveal that both the emergence of local momenta with sub- and super-oscillatory features and the wavepacket localization occur within a distinct timescale, which we define as the interference time.    ",タイトル：スーパーバンド幅の波パケットの自由な時間的進化：うさぎとカメの量子物語,要約：量子力学と古典光学の相互作用は、ウェーブパケットのダイナミクスで新しい視点を提供できますか？この接続に基づいて、量子粒子の自由伝播中に、超透明性と下拡張特性の両方を備えた局所的なモメンタが発生する可能性があることを示します。この動作は、分散培地でのスーパーバンド幅レーザーパルスの伝播と数学的に類似しており、電界の瞬間周波数は同様のサブエクセア的特徴を示します。この類推は、古典光学における光の波の記述と量子力学の形式主義との間の同等性に根ざしています。さらに、境界領域内の自由伝播中に、ウェーブパケットのローカリゼーションの現象を探索します。このローカリゼーションは、限定されたウェーブパケット領域内のローカルモーメントの分布に直接リンクされています。量子機械分析を補完するために、この現象に関するさらなる洞察を提供するために、古典的な分析も実行します。私たちの調査結果は、局所的なモメンタの出現と、サブエクサに加えた特徴を備えた局所的なモーメントの出現と、干渉時間として定義する明確なタイムスケール内でウェーブパケットのローカリゼーションが発生することを明らかにしています。
Authors:S. E. Skelton,Title:The Hitchhiker's Guide to QSP pre-processing,"Abstract:Quantum signal processing (QSP) relies on a historically costly pre-processing step, ""QSP-processing/phase-factor finding."" QSP-processing is now a developed topic within quantum algorithms literature, and a beginner accessible review of QSP-processing is overdue. This work provides a whirlwind tour through QSP conventions and pre-processing methods, beginning from a pedagogically accessible QSP convention. We then review QSP conventions associated with three common polynomial types: real polynomials with definite parity, sums of reciprocal/anti-reciprocal Chebyshev polynomials, and complex polynomials. We demonstrate how the conventions perform with respect to three criteria: circuit length, polynomial conditions, and pre-processing methods.We then review the recently introduced Wilson method for QSP-processing and give conditions where it can succeed with bound error. Although the resulting bound is not computationally efficient, we demonstrate that the method succeeds with linear error propagation for relevant target polynomials and precision regimes, including the Jacobi-Anger expansion used in Hamiltonian simulation algorithms. We then apply our benchmarks to three QSP-processing methods for QSP circuits and show that a method introduced by Berntson and Sünderhauf outperforms both the Wilson method and the standard optimization strategy for complex polynomials.    ",タイトル：QSP前処理に関するヒッチハイカーのガイド,要約：量子信号処理（QSP）は、歴史的に費用のかかる前処理ステップ、「QSP処理/位相ファクターの発見」に依存しています。QSP処理は現在、量子アルゴリズムの文献内で開発されたトピックであり、QSP処理の初心者にアクセス可能なレビューは期限切れです。この作業は、教育的にアクセス可能なQSPコンベンションから始まるQSPコンベンションと前処理方法を介した旋風ツアーを提供します。次に、3つの一般的な多項式タイプに関連するQSP規則を確認します：明確なパリティを持つ実際の多項式、相互/反ce造影チェビシェフ多項式の合計、および複雑な多項式。慣習が3つの基準に関してどのように機能するかを示します：回路の長さ、多項式条件、および前処理方法。次に、最近導入されたQSP処理のためのウィルソン法をレビューし、バウンドエラーで成功できる条件を与えます。結果のバウンドは計算上効率的ではありませんが、ハミルトニアンシミュレーションアルゴリズムで使用されるヤコビアガー拡張を含む、関連するターゲット多項式と精密レジームの線形誤差伝播でこの方法が成功することを実証します。次に、ベンチマークをQSP回路の3つのQSP処理方法に適用し、BerntsonとSünderhaufによって導入された方法が、Wilsonメソッドと複雑な多項式の標準最適化戦略の両方を上回ることを示します。
"Authors:Tatiana Mihaescu, Aurelian Isar, Mihai A Macovei",Title:Two-quanta processes in coupled double-quantum-dot cavity systems,"Abstract:The quantum dynamics of a compound sample consisting from a semiconductor double quantum dot (DQD) system non-linearly coupled with a leaking single-mode micro-resonator is theoretically investigated. The focus is on the resonance condition when the transition frequency of the double quantum dot equals to the doubled resonator frequency, respectively, and the resulting interplay among the involved phonon or photon channels. As a result, the steady-state quantum dynamics of this complex non-linear system exhibits a variety of possible effects that have been demonstrated here. Particularly, we have found the relationship among the electrical current through the double quantum dot and the microwave field inside the resonator that is nonlinearly coupled to it, with a corresponding emphasizing on their critical behaviors. Additionally, the quantum correlations of the photon flux generated into the resonator mode vary from super-Poissonian to Poissonian photon statistics, leading to single-qubit lasing phenomena at microwave frequencies.    ",タイトル：結合したダブルカントゥムドットキャビティシステムにおける2 Quantaプロセス,要約：半導体二重量子ドット（DQD）システムから構成される化合物サンプルの量子ダイナミクスは、漏れているシングルモードマイクロソネーターと組み合わせて理論的に調査されています。二重量子ドットの遷移周波数がそれぞれ2倍の共振器周波数に等しく、結果として生じるフォノンまたは光子チャネル間の相互作用が等しい場合の共振条件に焦点が当てられます。その結果、この複雑な非線形システムの定常状態の量子ダイナミクスは、ここで実証されているさまざまな効果を示します。特に、二重量子ドットを介した電流と、それに非線形に結合された共振器内のマイクロ波フィールドの間の関係を発見しました。さらに、共振器モードに生成された光子フラックスの量子相関は、超ポアソンの光子統計によって異なり、マイクロ波周波数で単一のキットのレーシング現象につながります。
"Authors:Aron Vanselow, Brieuc Beauseigneur, Louis Lattier, Marius Villiers, Anne Denis, Pascal Morfin, Zaki Leghtas, Philippe Campagne-Ibarcq",Title:Dissipating quartets of excitations in a superconducting circuit,"Abstract:Over the past decade, autonomous stabilization of bosonic qubits has emerged as a promising approach for hardware-efficient protection of quantum information. However, applying these techniques to more complex encodings than the Schrödinger cat code requires exquisite control of high-order wave mixing processes. The challenge is to enable specific multiphotonic dissipation channels while avoiding unintended non-linear interactions. In this work, we leverage a genuine six-wave mixing process enabled by a near Kerr-free Josephson element to enforce dissipation of quartets of excitations in a high-impedance superconducting resonator. Owing to residual non-linearities stemming from stray inductances in our circuit, this dissipation channel is only effective when the resonator holds a specific number of photons. Applying it to the fourth excited state of the resonator, we show an order of magnitude enhancement of the state decay rate while only marginally impacting the relaxation and coherence of lower energy states. Given that stray inductances could be strongly reduced through simple modifications in circuit design and that our methods can be adapted to activate even higher-order dissipation channels, these results pave the way toward the dynamical stabilization of four-component Schrödinger cat qubits and even more complex bosonic qubits.    ",タイトル：超伝導回路での励起のカルテットを消散します,要約：過去10年間で、ボーソンキビットの自律的な安定化は、量子情報のハードウェア効率の高い保護の有望なアプローチとして浮上してきました。ただし、これらの手法をSchrödingerCATコードよりも複雑なエンコーディングに適用するには、高次波混合プロセスの絶妙な制御が必要です。課題は、意図しない非線形相互作用を避けながら、特定の多光散逸チャネルを有効にすることです。この作業では、近くのカーフリーのジョセフソン要素によって有効になった本物の6波混合プロセスを活用して、高インピーダンスの超伝導共振器で励起のカルテットの散逸を実施します。私たちの回路の迷走インダクタンスに起因する残留非線形性により、この散逸チャネルは、共振器が特定の数の光子を保持している場合にのみ有効です。それを共振器の4番目の励起状態に適用すると、状態の減衰率の桁違いの強化が示され、それとも低いエネルギー状態の弛緩と一貫性にわずかに影響するだけです。サーキット設計の単純な変更により、迷路インダクタンスが強く減少し、さらに高次散逸チャネルを活性化するように方法を適応させることができることを考えると、これらの結果は、4成分シュレディンターキャットのQubitsとさらに複雑なものの動的な安定化への道を開きます。ボソンQubits。
"Authors:Yuyang Wang, Yukuan Hu, Xin Liu",Title:Complexity of Tensor Product Functions in Representing Antisymmetry,"Abstract:Tensor product function (TPF) approximations have been widely adopted in solving high-dimensional problems, such as partial differential equations and eigenvalue problems, achieving desirable accuracy with computational overhead that scales linearly with problem dimensions. However, recent studies have underscored the extraordinarily high computational cost of TPFs on quantum many-body problems, even for systems with as few as three particles. A key distinction in these problems is the antisymmetry requirement on the unknown functions. In the present work, we rigorously establish that the minimum number of involved terms for a class of TPFs to be exactly antisymmetric increases exponentially fast with the problem dimension. This class encompasses both traditionally discretized TPFs and the recent ones parameterized by neural networks. Our proof exploits the link between the antisymmetric TPFs in this class and the corresponding antisymmetric tensors and focuses on the Canonical Polyadic rank of the latter. As a result, our findings uncover a fundamental incompatibility between antisymmetry and low-rank TPFs in high-dimensional contexts and offer new insights for further developments.    ",タイトル：反対称性を表す際のテンソル製品機能の複雑さ,要約：テンソル製品関数（TPF）近似は、部分的な微分方程式や固有値問題などの高次元の問題を解決するために広く採用されており、問題のディメンションで線形にスケーリングする計算オーバーヘッドで望ましい精度を達成しています。しかし、最近の研究では、わずか3つの粒子を持つシステムであっても、量子多体の問題に関するTPFの非常に高い計算コストを強調しています。これらの問題の重要な違いは、未知の機能に対する反対称性要件です。現在の研究では、TPFのクラスの関係条件の最小数が正確に反対称であるため、問題のディメンションとともに指数関数的に速く増加することを厳密に確立します。このクラスには、従来の離散化されたTPFと、ニューラルネットワークによってパラメーター化された最近のTPFの両方が含まれます。私たちの証拠は、このクラスの反対称TPFと対応する反対称テンソルとの間のリンクを活用し、後者の標準的なポリアジックランクに焦点を当てています。その結果、私たちの調査結果は、高次元のコンテキストでの反対称性と低ランクTPFの間の根本的な互換性を明らかにし、さらなる開発のための新しい洞察を提供します。
"Authors:Kevissen Sellapillay, Laurent Raymond, Alberto D. Verga",Title:Entanglement transition in a cluster spin chain coupled with free spins,"Abstract:We investigate the entanglement of a ladder of spins formed by two sublattices, a ''cluster'' chain and the ''environment'', consisting of independent spins, both coupled by an exchange interaction and evolving under a unitary discrete time dynamics. The automaton is defined by the composition of the two body spin swap gate (between sublattices) and the three body cluster interaction. We observe that, depending on the set of coupling constants, the cluster subsystem evolves towards states corresponding to different entanglement phases. In the weak coupling regime the subsystem remains near the topological cluster state. Increasing the coupling strength leads to random states which transform from almost pure to fully mixed, according to the effective number of the environment active degrees of freedom.    ",タイトル：クラスタースピンチェーンのエンタングルメント遷移とフリースピンと組み合わせた,要約：私たちは、「クラスター」チェーンと「環境」という2つのサブラティスによって形成されたスピンのはしごの絡み合いを調査します。。オートマトンは、2つのボディスピンスワップゲート（サブラティス間）と3つのボディクラスター相互作用の組成によって定義されます。結合定数のセットに応じて、クラスターサブシステムは異なるエンタングルメントフェーズに対応する状態に向かって進化することがわかります。弱い結合体制では、サブシステムはトポロジークラスター状態の近くに残ります。結合強度を上げると、環境のアクティブな自由度の有効数に応じて、ほぼ純粋から完全に混合されるランダム状態につながります。
"Authors:Toshi Kusano, Yuma Nakamura, Rei Yokoyama, Naoya Ozawa, Kosuke Shibata, Tetsushi Takano, Yosuke Takasu, Yoshiro Takahashi",Title:Plane-selective coherent manipulations of nuclear spin qubits in a three-dimensional optical tweezer array,"Abstract:One of the central challenges for a practical fault-tolerant quantum computer is scalability. A three-dimensional structure of optical tweezer arrays offers the potential for scaling up neutral atom processors. However, coherent local operations, essential for quantum error correction, have yet to be explored for this platform. Here, we demonstrate plane-by-plane initialization of nuclear spin qubits of ${}^{171}\mathrm{Yb}$ atoms in a three-dimensional atom array and execute local coherent qubit rotations that act only on specific planes, by exploiting the plane-selective excitation of the atoms from the ${}^1S_0$ to the ${}^3P_2$ state. This plane-selective manipulation technique paves the way for quantum computing and quantum simulation in three-dimensional multilayer architectures.    ",タイトル：3次元光ピンセットアレイにおける核スピンキビットの平面選択的コヒーレント操作,要約：実用的な断層耐性量子コンピューターの中心的な課題の1つは、スケーラビリティです。光ピンセットアレイの3次元構造は、ニュートラルな原子プロセッサをスケーリングする可能性を提供します。ただし、量子エラー補正に不可欠なコヒーレントローカル操作は、このプラットフォームではまだ調査されていません。ここでは、$ {}^{171} \ mathrm {yb} $の$ {}^{171}の核スピンqubitsの平面ごとの初期化を示し、3次元原子アレイでの原子を示し、特定の平面でのみ作用するローカルコヒーレントキット回転を実行します。$ {}^1S_0 $から$ {}^3p_2 $ $状態への原子の平面選択的励起を利用します。この平面選択的操作技術は、3次元多層アーキテクチャでの量子コンピューティングと量子シミュレーションの道を開きます。
"Authors:Laura A. Völker, John M. Abendroth, Christian L. Degen, Konstantin Herb",Title:SimOS: A Python Framework for Simulations of Optically Addressable Spins,"Abstract:We present an open-source simulation framework for optically detected magnetic resonance, developed in Python. The framework allows users to construct, manipulate, and evolve multipartite quantum systems that consist of spins and electronic levels. We provide an interface for efficient time-evolution in Lindblad form as well as a framework for facilitating simulation of spatial and generalized stochastic dynamics. Further, symbolic operator construction and propagation is supported for simple model systems making the framework also ideal for use in classroom instruction of magnetic resonance. Designed to be backend-agnostic, the library leverages existing Python libraries as computational backends. We introduce the most important functionality and illustrate the syntax on a series of examples. These include systems such as the nitrogen-vacancy center in diamond and photo-generated spin-correlated radical pairs for which our library offers system-specific sub-modules.    ",タイトル：SIMOS：光学的にアドレス可能なスピンのシミュレーションのためのPythonフレームワーク,要約：Pythonで開発された光学的に検出された磁気共鳴のためのオープンソースシミュレーションフレームワークを提示します。このフレームワークにより、ユーザーはスピンと電子レベルで構成されるマルチパルタイト量子システムを構築、操作、および進化させることができます。Lindblad形式での効率的な時間進化のためのインターフェイスと、空間的および一般化された確率的ダイナミクスのシミュレーションを促進するためのフレームワークを提供します。さらに、シンボリックオペレーターの構築と伝播は、磁気共鳴の教室での指導にも最適なフレームワークを提供する単純なモデルシステムにサポートされています。バックエンドに依存するように設計されたライブラリは、既存のPythonライブラリを計算バックエンドとして活用しています。最も重要な機能を紹介し、一連の例で構文を説明します。これらには、ダイヤモンドの窒素空因性センターや、図書館がシステム固有のサブモジュールを提供する光生成スピン相関ラジカルペアなどのシステムが含まれます。
"Authors:Xingyu Zhao, Qian Bin, Waner Hou, Yi Li, Yue Li, Yiheng Lin, Xin-You Lü, Jiangfeng Du",Title:Experimental observation of parity-symmetry-protected phenomena in the quantum Rabi model with a trapped ion,"Abstract:Symmetry is crucial for gaining insights into the fundamental properties of physical systems, bringing possibilities in studying exotic phenomena such as quantum phase transitions and ground state entanglement. Here, we experimentally simulate a highly controllable extended quantum Rabi model, capable of tuning into the ultra-strong or deep coupling regime, in a spin-motion-coupled trapped ion. We observe that the phonon driven by such a model with parity symmetry preserved (broken) would experience double (single) excitation in the ultra-strong coupling regime. Quantum phenomena such as strong ground state entanglement and quantum superposition in systems occur with parity symmetry, and these phenomena disappear following the symmetry breaking. We also find sensitive responses for the two-level system entropy and phonon Wigner function in the deep coupling regime, depending on the parameter across the symmetry transition point. This work offers the prospect of exploring symmetry-controlled quantum phenomena and their applications in high-precision quantum technologies.    ",タイトル：トラップイオンを備えた量子Rabiモデルにおけるパリティサイクルメトリー保護現象の実験的観察,要約：対称性は、物理システムの基本的な特性に関する洞察を得るために重要であり、量子相遷移や基底状態の絡み合いなどのエキゾチックな現象を研究する可能性をもたらします。ここでは、スピンモーション結合されたトラップイオンで、非常に強力なまたは深い結合領域に調整できる高度に制御可能な拡張量子ラビモデルを実験的にシミュレートします。パリティの対称性が保存された（壊れた）そのようなモデルによって駆動されるフォノンは、超強力な結合体制で2倍の（単一）励起を経験することを観察します。強力な基底状態の絡み合いやシステムの量子重複などの量子現象は、パリティの対称性とともに発生し、これらの現象は対称性の破壊後に消えます。また、対称遷移ポイント全体のパラメーターに応じて、深部結合体制における2レベルのシステムエントロピーおよびフォノンウィグナー関数の敏感な応答も見られます。この作業は、対称制御の量子現象と高精度の量子技術でのその応用を調査する見込みを提供します。
"Authors:Kobra Mahdavipour, Samira Nazifkar, Hossein Rangani Jahromi, Rosario Lo Franco",Title:Witnessing global memory effects of multiqubit correlated noisy channels by Hilbert-Schmidt speed,"Abstract:In correlated noisy channels, the global memory effects on the dynamics of a quantum system depend on both non-Markovianity of the single noisy channel (intrinsic memory) and classical correlations between multiple uses of the channel itself (correlation-based memory). We show that the Hilbert-Schmidt speed (HSS), a measure of non-Markovianity, serves as a reliable figure of merit for evaluating the role of this correlation-based memory on the global memory effects, for both unital and non-unital channels. The intensity of the correlation-based memory is ruled by a classical correlation strength between consecutive applications of the channel. We demonstrate that, for unital noisy channels, increasing the number of qubits of the system significantly weakens the sensitivity of the HSS to this classical correlation strength. Such a pattern indicates that the state evolution of large quantum systems may be less prone to be affected by classical correlations between noisy channels. Moreover, assuming the qubits are affected by independent or classically correlated local non-Markovian unital channels, we observe that, as the number of qubits increases, the collective behavior of the multiqubit system inhibits the non-Markovian features of the overall system dynamics.    ",タイトル：Hilbert-Schmidt Speedによるマルチキビット相関のノイジーチャンネルのグローバルなメモリ効果を目撃する,要約：相関したノイズの多いチャネルでは、量子システムのダイナミクスに対するグローバルなメモリ効果は、単一の騒音チャネルの非マルコビアリティ（本質的なメモリ）とチャネル自体（相関ベースのメモリ）の複数の使用間の古典的な相関の両方に依存します。非マルコヴィアン性の尺度であるヒルバートシュミット速度（HSS）が、ユニタールチャネルと非統一性チャネルの両方について、この相関ベースのメモリの役割をグローバルなメモリ効果に与える役割を評価するための信頼できるメリットの数字として役立つことを示しています。。相関ベースのメモリの強度は、チャネルの連続したアプリケーション間の古典的な相関強度によって支配されます。Unitalノイズの多いチャネルの場合、システムのキクの数を増やすと、HSSの感度がこの古典的な相関強度に対する感度を大幅に弱めることを実証します。このようなパターンは、大量の大量システムの状態の進化が、騒々しいチャネル間の古典的な相関によって影響を受ける傾向が低いことを示しています。さらに、キュービットが独立したまたは古典的に相関するローカル非マルコビアの統一チャネルの影響を受けていると仮定すると、キュービットの数が増えると、マルチクビットシステムの集合的な行動がシステム全体のダイナミクスの非マルコビアンの特徴を阻害することがわかります。
Authors:Malte Henkel,Title:Finite-size scaling in the ageing dynamics of the $1D$ Glauber-Ising model,"Abstract:Single-time and two-time correlators are computed exactly in the $1D$ Glauber-Ising model after a quench to zero temperature and on a periodic chain of finite length $N$, using a simple analytical continuation technique. Besides the general confirmation of finite-size scaling in non-equilibrium dynamics, this allows to test the scaling behaviour of the plateau height $C_{\infty}^{(2)}$ to which the two-time auto-correlator converges, when deep into the finite-size regime.    ",タイトル：$ 1D $ $ GLAUBER-ISINGモデルの老化ダイナミクスにおける有限サイズのスケーリング,要約：シングルタイムおよび2回の相関器は、クエンチからゼロの温度までの1D $ $ Glauber-Isingモデルと、単純な分析継続技術を使用して、$ n $の周期的なチェーンで正確に計算されます。非平衡ダイナミクスにおける有限サイズのスケーリングの一般的な確認に加えて、これにより、プラトーの高さ$ c _ {\ infty}^{（2）} $のスケーリング挙動をテストすることができます。有限サイズの体制に深く入り込むとき。
"Authors:Paulina Jureczko, Marko Milivojević, Marcin Kurpas",Title:Strain-tuning of spin anisotropy in single-layer phosphorene: insights from Elliott-Yafet and Dyakonov-Perel spin relaxation rates,"Abstract:Materials and systems that exhibit persistent spin texture provide a platform for creating robust spin states that can be used in quantum computing, memory storage, and other advanced technological applications. In this paper we show that persistent spin-texture in single-layer phosphorene electrons close to the $\Gamma$ point, subjected to the finite perpendicular electric field, can be achieved by appropriately tuning the extrinsic spin-orbit coupling strength using the tensile strain of about $1.2\%$ in the zigzag direction. This is confirmed by detailed numerical investigations of the effects of strain on the intrinsic and extrinsic spin-orbit coupling, and by the effective spin-orbit Hamiltonian of phosphorene electrons and holes around the $\Gamma$ point, assuming the presence of the perpendicular electric field. Furthermore, the calculated spin relaxation rates due to the Dyakonov-Perel mechanism indicate a giant anisotropy of the in-plane spin, up to $10^5$, which is directly related to the discovered persistent spin texture of phosphorene electrons close to the $\Gamma$ point. %%%%%%%% We also show, that strain can reverse the anisotropy of spin mixing parameter $b^2$ connected to the Elliott-Yafet spin relaxation mechanism which dominates spin relaxation in phosphorene. We find the conditions under which Elliott-Yafet spin lifetime anisotropy can be largely enhanced due to synergy of spin mixing and g-factor anisotropy. %%%%%%%%%% Our results suggest that spin texture in phosphorene can be modulated by strain, enabling its potential usage in the field of spintronics.    ",タイトル：単一層ホスホレンにおけるスピン異方性の株調整：エリオットヤフェットとジアコノフペルのスピン緩和率からの洞察,要約：永続的なスピンテクスチャを示す材料とシステムは、量子コンピューティング、メモリストレージ、およびその他の高度な技術アプリケーションで使用できる堅牢なスピン状態を作成するためのプラットフォームを提供します。この論文では、有限垂直電界にさらされる$ \ gamma $ポイントに近い単一層ホスホレン電子の持続的なスピンテクスチャーを、引張株を使用して外因性のスピン軌道結合強度を適切に調整することで実現できることを示しています。Zigzag方向の約1.2 \％$の$ 1.2 \％$。これは、垂直電気の存在の存在を仮定して、$ \ gamma $ポイントの周りのホスホレン電子と穴の有効なスピン軌道ハミルトニアンの固有および外因性のスピン軌道結合に対するひずみの影響の詳細な数値調査によって確認されます。分野。さらに、ジアコノフペールメカニズムによる計算されたスピン緩和速度は、$ 10^5 $までの面内スピンの巨大な異方性を示しています。ガンマ$ポイント。%%%%%%%% %%は、株がリンでのスピン緩和を支配するエリオットヤフェットスピン緩和メカニズムに接続されたスピンミキシングパラメーターの異方性を逆転させることができることを示しています。スピン混合とGファクターの異方性の相乗効果により、エリオットヤフェットスピンの寿命の異方性が大幅に強化できる条件を見つけます。%%%%%%%%%%私たちの結果は、ホスホレンのスピンテクスチャーが株によって調節され、スピントロニクスの分野での潜在的な使用を可能にすることを示唆しています。
